"","dept","comments_RAP","comments_coding_practices","comments_coding_support","comments_survey","comments_other"
"252","Office for National Statistics",NA,NA,"Not sure","No","No"
"253","Defence Science and Technology Laboratory","I've heard of them but haven't got around to seeing how it could be applied to my work (it is on my to-do-list though)",NA,NA,NA,NA
"254","Office for National Statistics",NA,NA,"time to train, mentoring, be involved in coding tasks on daily baisis","n/a","n/a"
"255","Defence Science and Technology Laboratory",NA,NA,"Additional training",NA,"General comment.Some questions are not clear how they should be answered. It would be useful to explain e.g. when to use yes/no/Don't know in the software use/availability questions. But this would be helpful through out and would just need an example, or a sentence to explain."
"259","Office for National Statistics","I don't know much about RAPs, I am not sure if it is relevant to my work.",NA,NA,NA,NA
"260","Department for Work and Pensions",NA,NA,"Best practices and innovation learnings. I have never heard of RAP whilst in my current role so word needs to get out a bit moew",NA,NA
"261","Department for Business, Energy and Industrial Strategy (excl. agencies)",NA,NA,"Coding training, and also more push for teams to integrate coding into day-to-day work. There seems to be a fear amongst leadership of allowing their teams to use code which the team leader does not understand him/herself. This fear of coding holds our productivity back.","Clarity on whether someone isn't using particular coding techniques because there is no need for that technique, or because they do not have the skills ",NA
"263","Public Health England","I don't know where to start",NA,"How to start primer",NA,NA
"264","Department for Work and Pensions",NA,NA,"Time and resources for training on RAP and developing coding skills. ",NA,NA
"265","HM Revenue and Customs",NA,NA,"Not sure - recently joined team",NA,NA
"266","NHS","We have an issue with deciding which tools to use.  There is a view that everyone must use the same tools, rather than a more flexible approach where consistency is enforced where possible but there are options so that the appropriate tools are selected for the task in hand.  Also, some tools are very locked down so getting the appropriate permissions e.g. python libraries is difficult.","Not all of these tools are widely available to us due to a separation of 'data management' and 'analysis' which is not always appropriate","Guidance to ICT / infrastructure in our organisation on how other organisations handling sensitive data have implemented permissions so we have the tools we need to perform analysis.",NA,"It is important that programming is seen as an important skill for some GSS jobs.  In our department, 'analysis' and 'data management' are separated which causes issues and sometimes means that analysts aren't fully involved in these processes and become deskilled."
"267","Department for International Trade",NA,NA,"Training in coding; Support on improving coding practices;",NA,NA
"269","Office for National Statistics",NA,NA,"appropriate training. 
",NA,NA
"272","National Records of Scotland",NA,NA,"A webinar or video on the most common mistakes Statisticians make when coding - focussed on sustainable coding.",NA,"Please give the option of Scottish Government employment bands at the beginning."
"273","Public Health England",NA,NA,"A designated person from data science involved in key projects to advise and help people access training and resources and to evaluate our progress. Opportunities to share what we have learned and evaluate what we need to try next.",NA,NA
"274","Department for Environment, Food and Rural Affairs (excl. agencies)",NA,NA,"interactive workshops & demonstrations
",NA,NA
"275","Public Health England",NA,NA,"R training tailored to health data",NA,"there are too many tools across the system being introduced without proper training, difficult to pick up and know what it being used, also creates issues with qa when only some people use a specific technology"
"277","Public Health England",NA,NA,"PHE's coders to be better supported/less fragmented","No",NA
"278","Department for Work and Pensions","I have heard about RAP a lot but not any actual applications - should I be using one when doing regular (eg monthly) analysis? Is it just for people transferring data? Or for Official Stats? As yet I haven't had a conversation about a RAP that actually explains its applications!",NA,"Mainly access - I'm sure if my whole team had access to stuff like R, Python, and Git (and it was necessary for our roles) we would find it relatively easy to learn and use, but plans for access to these things are always on the horizon but never arriving. This means there's little motivation to learn and no opportunity to practice.
Case studies of RAPs would also be useful - I think I've seen one or two but mainly focused around Official Stats and other areas I'm not involved in - and maybe a checklist for when you would recommend using RAP",NA,"My department is in the process (I think) of setting up a system where people can help work on a stats project not in their area - eg people volunteer to help because they want experience with forecasting, so they're asked to work on forecasting resource for a covid 2nd wave. I think being able to do this for coding/RAP would be good too!"
"279","Department for Education","not applicable to current work",NA,NA,NA,NA
"281","Office for National Statistics","Due to the varied, often research-based analysis I work on, I am rarely required to or responsible for producing a Reproducible Analytical Pipeline. Most work is one-off and either passed on to other areas or not used again.","There is no standardised approach, and often different customers (with different timescales) want different things.","Coding skills mostly seem to be acquired as-needed - I didn't know much R before being thrown into a project that used it. Most centralised training tends to be a bit lacking, so just making the language available and with support documentation (invariably already available online) and common packages available and easily accessible would help develop coding skills. That and developing a culture of trying new languages.

As to RAP, I'm not sure how useful it is when the work often doesn't need to be reproducible. In my previous role I was introduced to a RAP champion about a year into a coding project, and they were a huge help - increasing awareness would have made that moment sooner and potentially helped the project more.",NA,NA
"282","Office for National Statistics","I don't have an understanding of RAP so I wouldn't feel confident or able to implement in my work",NA,"Understanding the standards we should follow",NA,NA
"283","Public Health England",NA,NA,"Support from senior members of the team",NA,NA
"284","Defence Science and Technology Laboratory","Implementing RAP is not a priority for my current work, although I think it should be","I am still learning modern development practices and working to improve how I code.","Funding and time to learn skills and implement RAP",NA,NA
"287","Defence Science and Technology Laboratory",NA,NA,"N/A",NA,NA
"291","Defence Science and Technology Laboratory",NA,NA,"An understanding of what this is, if indeed it could be used within my team.","Level of coding - eg how many years.",NA
"292","Defence Science and Technology Laboratory","Dstl is an S&T organisation so RAP methodology is not always required but we do know how to use it when needed",NA,NA,NA,NA
"294","Ministry of Defence",NA,"We seem to have no set standards, but we should.","Training sessions, explanations of importance, demonstrations and clearly defined ways of working.","How you would chose to do things.
What tools would you rather use?
",NA
"295","Department for Work and Pensions",NA,NA,"Having R , Python and github available on networked computers (github is blacklisted in DWP)",NA,NA
"296","Other","I don't know where to find resources to implement RAP but I have ideas about where I might look (e.g. GSS site)",NA,"Advice on practical approaches, training opportunities ","Training resources available to the team, support and understanding from senior leaders ",NA
"297","Defence Science and Technology Laboratory",NA,NA,"Having the right training and accreditation pipeline in place to ensure people have their skills developed to the required level. ",NA,"There is a temptation to treat 'data science' and 'research software engineering' as two separate domains, when in fact there is a large level of overlap.  I'd like to see the two capabilities working together rather than trying to show themselves as distinct."
"298","Public Health England",NA,NA,"Training sessions","What is taught in education, what training courses are available",NA
"299","Office for National Statistics","Not publicised and not explained.",NA,NA,NA,NA
"300","Department for Education","My team's work is often ad-hoc, which means the overhead to make something completely RAP-ready is often not worth it. We aim for making the outputs understandable and reproducible, but not necessarily able to be run all in one go without user involvement.",NA,"Blog etc on the benefits of RAPs or unit testing","Maybe more detail on how much the software is used - one could be used 90% of the time and one 5%",NA
"302","Defence Science and Technology Laboratory",NA,NA,"Understanding what RAP is (I am assuming it is just re-usable code with a funky name?), less jargon used in the area (everything has a funky name that makes it hard to remember). Time for training and development and to ensure code is fully re-usable rather than deployed then the next project begins.  ","Information on wider software development activities supporting Analysis and Research tasks. E.g. simulation and modelling, capturing of requirements, are users aware of, and do they use, appropriate hardware platforms for their work, do they only use tools because that is what is available or have they assessed it to be the best tool for the job.","Seems pretty geared towards Data Science and ignores large aspects of software development that support wider Analysis and Research tasks. The outcomes may be particularly biased because of this."
"307","Office for National Statistics","Time constraints and skills constraints primarily. We research methods, which does not involve pipelines, but then when we deliver them we are often very rushed and so do not have time to rewrite our code into a RAP",NA,"Extra people trained in pipeline creation loaned to our team","Assessing the communities of coders avalible to different departments. e.g. whether you are the only coder in your team, whether you meet with other coders regularly",NA
"309","Defence Science and Technology Laboratory","after a quick search, I'm unfamiliar with some aspects of the concept (e.g. automated testing), but think this might be driven by my focus on programming for research, rather than production/support. Such processes can take away from speed of research/delivery, and I'd argue are less important than iterating or experimenting.","Lot of terms and concepts introduced that are probably familiar to software developers, but not necessarily to wider programmers - not entirely sure I've understood what's being asked.","Fewer management and documentation processes relating to software - current position is that even small tests/scripts attract significant burden and discourage automation.",NA,"Fewer management and documentation processes relating to software - current position is that even small tests/scripts attract significant burden and discourage automation."
"310","Department for Work and Pensions","RAP has been talked about in the admin stats team in DWP - but we have not discussed in the surveys based team.  In reality we may be  using some of the principles in our current way of working - but not calling it RAP officially. If the admin stats team are able to get something working on this we'd be in a better place to then discuss in relation to the surveys publications. ",NA,"I think I have only heard RAP being talked about in relation to admin data - is anyone across govt looked at RAP for survey based publications/analysis where eg questions or variables can change every year?",NA,"Have to say this wasn't easy for me to complete as I am not doing analysis on a daily basis - and haven't done for around 13 years or so. And in my G6 role I'm not expected to either.  Coding skills required do depend on the exact tools available in depts.  I am conscious when I see eg applications that people applying have often used a range of software - but it might not be SAS which is currently our primary tool. "
"311","Department for Education",NA,NA,"Workshops and examples.","What we would like to learn (for L&D purposes).",NA
"312","Public Health England",NA,NA,"A cross-government standard",NA,NA
"313","Defence Science and Technology Laboratory",NA,NA,"A specific business case for a team member(s) to develop skills, eg. for a specific project or even potential for it to be used in practice. ",NA,NA
"314","Office for National Statistics",NA,NA,"guide docs with examples",NA,NA
"317","Office for National Statistics",NA,NA,"Communication and connections between diff coders in division - often I find out info re tried and tested ideas / best practice through asking colleagues or yammer. Would be useful to have a clearer store or code/guidance to look-up",NA,NA
"318","Office for National Statistics",NA,NA,"Online learning courses covering the core components that cover the possible technical and software solutions, including technical challenges that ask you to implement a small RAP,.",NA,NA
"320","Department for Transport (excl. agencies)",NA,NA,"Lessons and practise 
Fund course/certificate that team could work towards","no",NA
"322","HM Revenue and Customs","Don't know who is RAP champion and don't know where to start with RAP",NA,"Awareness of what RAP is and information on how to get started","No",NA
"323","Cabinet Office (excl. agencies)",NA,NA,"Greater support from G7s and above on ring-fencing time to implement RAP",NA,NA
"325","Office for National Statistics",NA,NA,"Training that is relevant to the work we do in social surveys","No","I think in ONS some departments like economic statistics are well ahead in terms of coding in programming like R and Python than departments such as social surveys, which worries me "
"326","Office for National Statistics",NA,NA,"Workshop/Training",NA,NA
"327","Office for National Statistics",NA,NA,"I don't know. I am not sure what ""pipeline"" means in this context and whether I would need to implement RAP.",NA,NA
"328","Defence Science and Technology Laboratory",NA,NA,"Whole Dstl training and culture shift",NA,NA
"329","Office for National Statistics",NA,NA,"Subject specific coding webinars","N/A",NA
"330","Public Health England",NA,NA,"tutorials and workshops",NA,NA
"331","Office for National Statistics",NA,NA,"Very basic training course for non-coders.",NA,NA
"332","Office for National Statistics",NA,NA,"Sandbox environments",NA,NA
"333","Office for National Statistics",NA,NA,"More regular structured training","More specific to organisations","More regular structured training"
"334","HM Revenue and Customs",NA,NA,"Experts sharing their knowledge and drive to use it",NA,NA
"335","Defence Science and Technology Laboratory",NA,NA,"A-Level Computing. Most team members have a very low level of capability in this area, largely because they aren't interested in the topic and don't see it as part of their job. A-Level Computing would provide them with a good baseline knowledge and decent amount of practice implementing basic solutions.",NA,NA
"336","Office for National Statistics",NA,NA,"Python examples",NA,NA
"337","Department for Education",NA,NA,"Unsure on what RAP is. To develop coding skills it would help to have more managers trained in coding as well as other incoming analysts - even if this just means some kind of constant training throughout roles that don't use coding. For skills I have selected I don't understand it would be useful to have widely available documentation outlining this. ","No",NA
"338","Office for National Statistics",NA,NA,NA,NA,"Greater recognition and appreciation of the bespoke technical skills and applications development that goes on in various different business areas across the GSS."
"339","HM Revenue and Customs","Not read enough on RAP. Difficult to implement in to my team.",NA,NA,NA,NA
"340","Office for National Statistics",NA,NA,"A support team, courses, documentation and examples.","Yes, details about whether people are using, interrogating and trouble-shooting front-end systems that interact with programming languages.","Many thanks for organising this survey. I think it's really useful to think about these sorts of questions and collect the relevant information."
"341","Ministry of Justice (excl. agencies)","We are implementing reproducible data pipelines and related data infrastructure, but other teams perform the analysis.","We use Apache Airflow for workflow orchestration","Maybe a Data Engineering community of some kind",NA,NA
"342","Office for National Statistics",NA,NA,"Better visibility of RAP champion. More targeted training within divisions.",NA,NA
"343","Office for National Statistics","RAP is conceptual, I don't feel comfortable agreeing in any way about ""key components"" when it is an idea.","I feel that some of your questions are ambiguous or not completely sensible","A solid and easily accessible Planning your Programming Project style document for new starters, documentation around how to think about tackling projects (not just jumping in and programming, taking the time to break down your process in order to do it) and interactive materials that go alongside these would be a great help.

Too often I witness people starting to solve the problem by immediately opening their IDE and turning their problem into knotty spaghetti. ","I would like to see the questions improved to be less ambiguous to improve the data collected. ",NA
"344","Office for National Statistics",NA,NA,"Sessions that demonstrate regularly performed functions.","No",NA
"346","NHS","I have an idea what RAP is and I think this is a good thing to do but in my work we are trying to do this but haven't got fixed protocols or principles as yet.",NA,NA,NA,NA
"348","Defence Science and Technology Laboratory",NA,NA,"Management direction",NA,NA
"351","Defence Science and Technology Laboratory",NA,NA,NA,NA,"When I first joined DOAE back in the late 80's being able to program was compulsory (FORTRAN in my case).  If you hadn't done it in education then you were taught it via a course.  When DERA was formed, coding was actively discouraged by senior management with the argument that this should all be contracted out as if we taught people coding they would leave for better paid jobs elsewhere..  This forced people to try to get around the system by using things like Excel/VBA merely to do their jobs.  Coding standards plummeted as a result.  We are slowly getting the capability back but only as a result of hiring youngsters who can already code.  We are where we are because of deliberate, incompetent decision making at senior levels."
"354","Public Health England",NA,NA,"Training in R/Python & git",NA,NA
"356","NHS",NA,"Would love to open source code, but our NHS Trust fears loss of IP. Keen to use Docker but most newer tech is shot down by IT services.","A nationally approved set of instructions for implementing environments like Docker, to make IT departments allow new tech.","Better defintions, sub-grouped, for huge 'NHS' group.",NA
"358","Other","I've heard of RAP methodology through Gov Data Science slack, data science events and the data science accelerator but have never engaged enough to really understand what it entails or how I would go about learning to implement them.",NA,"More RAP specific events within the Environment Agency/DEFRA. A better understanding within the EA of the benefits of RAP and a more developed data science function generally (I think we only have one named data scientist role in the 10,000 person organisation)",NA,NA
"360","NHS",NA,NA,"Pressure from higher up that all work must be reproducible",NA,NA
"361","NHS",NA,NA,"Time to undertake coding on the job and not keeping up with demand",NA,NA
"362","Office for National Statistics","We are currently deploying serverless data pipelines but I'm unsure whether they conform to RAP. Our code is open, scalable, vc'd and tested.","Would be good to know about use of cloud, use of personal machine vs VMs, use of notebooks, etc.",NA,"Cloud practices
Use of notebooks or other similar
Use of GPUs
",NA
"363","Office for National Statistics",NA,NA,"Being able to dip into training as and when we need it and lots of refresher training because years can go by in between projects on which do coding.","No.","N/A"
"364","Department for Education",NA,NA,"Having generic template code and outputs available so people have examples to work to. ",NA,NA
"366","Office for National Statistics",NA,NA,"Training on Learning platform",NA,NA
"367","Department for Business, Energy and Industrial Strategy (excl. agencies)",NA,NA,"Hard to recruit people with the right technical skills to implement RAPs in my team. ",NA,NA
"369","Defence Science and Technology Laboratory",NA,NA,"someone who understands coding assess how work is currently done and where efficiencies by using coding can be made and then set up proper courses with instruction to teach people what they need to know",NA,"time and money will be required for this training"
"371","Public Health England",NA,NA,"Work with cultural change and changing ways of working","not sure",NA
"372","Defence Science and Technology Laboratory","I don't code but I lead people who do so I ensure that they are using RAP processes (although I could do with more knowledge so it isn't all done on trust)",NA,NA,NA,NA
"374","NHS","This is not something I am aware of",NA,"Something from the very basic starting position",NA,NA
"376","Defence Science and Technology Laboratory",NA,NA,"More frequent use of coding to maintain skills",NA,NA
"378","Public Health England",NA,NA,"General training",NA,NA
"379","Office for National Statistics",NA,"The problem is that too many people thing they are the greatest programmer that the world has seen; all trying to bring their own slant or favourite package to the table. Official statistics should stick to 1 or 2 software package for production / analytical outputs. And similar for development. ","Not everyone should be coding. It should be specialised. The problem now is everyone thinks they are a coder, leading to crazy proliferation of bad code all over the place. ","skill level and ability to code, but if this is a self filled in quesitonnsire - then your data will be rubbish as everyone over-estimates their own ability. ","Not everyone should be coding. It should be specialised. The problem now is everyone thinks they are a coder, leading to crazy proliferation of bad code all over the place. Coding of productionised systems should be done by accredited coders who understand BOTH STATISTICS and CODING. Too often it is one or the other, and that leads to poorly understood and developed systems. "
"380","Office for National Statistics","Have heard of RAP but not sure about the details above.",NA,NA,NA,NA
"381","Northern Ireland Statistics and Research Agency",NA,NA,"time to investigate and develop updated coding to replace out of date code","No",NA
"382","NHS","I have not heard of RAP champions but interested to find out more",NA,"More marketing / events on what RAP is",NA,NA
"383","Office for National Statistics",NA,NA,"None - this isn't something we do in our team.",NA,NA
"384","Other","Analysis is not well utilised - I am extremely limited by the teams desire to do everything in a spreadsheet ","As a sub-department we are still not orientated towards programming - even within the analyst hub","Working with another programmer/coder to be able to share ideas and QA-ing and to help other team members understand how to use the functions","How often codingis actually used. How many people within the team code? Where support is gained? What training is offered?",NA
"385","Office for National Statistics",NA,NA,"Know where to find materials on best practices and seminars/workshops to attend with examples","Extent to which it would be possible to use more coding in job",NA
"386","Defence Science and Technology Laboratory",NA,NA,"Education as to the tools available","Capture which tools *are* being used",NA
"387","Other",NA,NA,"Resources to show example pipelines and process to implement them across an organisation. Documented principles of RAP","N/A","N/A"
"391","Department of Health and Social Care (excl. agencies)","Don't have enough knowledge of RAP methodology",NA,NA,NA,NA
"392","Ministry of Defence","My role is as a Software Engineer working at a level below the use of RAP. The output of my work assists others in carrying out reproducible work. I also provide advice and guidance on good software practice to others, some of whom may benefit from RAP and some who may not.","My answers are very situation dependent - many of the practices mentioned above are not used because they are not required or appropriate to my current work. In some cases we wish to make use of them but are unable due to security or technical constraints related to our working environments.",NA,"The continuing learning journey once people learn to code. In my case it is 38 years since I learnt to code but I find myself having to spend personal time teaching myself technologies required for work as the lead time and cost of formal training plus my workload render training in office hours impractical.
I would also like to see data on barriers to making use of appropriate Software Engineering tools and techniques gathered. For example on one network I develop on I make use of Git but it required two days of effort to correctly configure it to work with the non-standard, locked down and undocumented system.","This survey appears to be focused on Analytical Practitioners and is a poor fit for Research Software Engineers like myself who support them."
"394","Defence Science and Technology Laboratory",NA,NA,"Tuition in good software development practices and regular internal peer review of code",NA,NA
"396","Defence Science and Technology Laboratory",NA,NA,"time to learn more coding skills","data on task automation",NA
"398","Defence Science and Technology Laboratory",NA,NA,"No idea","Make some questions optional as not all are applicable if you are a non-coder (specifically question on GIT)",NA
"399","Office for National Statistics","My team produce one-off ad hoc analyses, my understanding is that RAPs are better placed for things that will be repeated eg National Stats. ",NA,NA,NA,NA
"401","Defence Science and Technology Laboratory",NA,NA,"N/A","N/A","N/A"
"402","Defence Science and Technology Laboratory",NA,NA,"allowance and acceptance of free learning resources and time to do them","no",NA
"403","Office for National Statistics","Most of the people in my team who know how to use at least one piece of software (whether Python, SAS, R...) only know the very basics, or have started doing coding in the later stages of their career.

There hasn't been a structured coding culture within my team, so there is little support or help when it comes to implementing RAP or offering resources to help with this.

I learned the concept of RAP while at university.

",NA,NA,NA,NA
"405","Department for Education",NA,NA,"Given time. Difficult to make time to lean optimal approaches where all commissions are marked as 'urgent'. ",NA,"Well thought though survey."
"406","Other",NA,"Currently very much limited in what we have access to- unable to use Git, Travis etc. and even R availability is severely limited across the team","Business case development to help access software and move us up prioritisation lists","The barriers to implementing RAP/Coding practices within teams so we can tackle as a professopm",NA
"407","Defence Science and Technology Laboratory",NA,NA,"N/A","N/A","Q 13 is only relevant to those who use at least one of the listed options

"
"408","Other","RAP is still evolving.",NA,"Champion role (already in place)","No","None"
"410","Defence Science and Technology Laboratory",NA,NA,"More time to attend training, less project pressure. Culture shift.",NA,NA
"413","Department of Health and Social Care (excl. agencies)","I have never even heard a mention of RAP in my current job/department",NA,"A very basic intro to what RAP is",NA,NA
"414","Office for National Statistics","""I understand what the key components..."": I feel like I would be able to find this information if I needed it.

""I think it is important to implement RAP in my work"": I actually think it would be highly detrimental for my work to produce it as a RAP, although I do think production-ready systems should be underpinned by RAPs. I work on a project where my team works in research and another team develops a RAP based on our recommendations from research. Developing a RAP to perform the research would significantly slow down our research. It would also hamper the flexibility of our approach; we would likely not try new ideas if we had to go through all the formal testing and management phases that underpin RAPs. We do draw on some principles from RAP to ensure e.g. repeatability, but our need to produce at pace means we can't fully commit to RAPs.

""I and/or my team are currently implementing RAP"": wider project team is; my immediate team is not",NA,"There is a lot of training available on how to use various coding packages and techniques, but nearly never on coding practices. I have asked for testing training in the past but it hasn't been available!",NA,NA
"416","Department for Education",NA,NA,"Training sessions.",NA,"Programming skills are really patchy throughout analytical teams and there doesn't seem to be much impetus to get people up to a certain standard of coding practice/understanding. This can mean that for certain projects a lot of pressure falls on teams that do actively use code, with other colleagues who know 'a bit' generally avoiding working with code because of extra initial time investment needed and awareness that other colleagues won't be able to use their analysis. This mean there are a lot of people willing and able but who never get their coding skills up to a very useful level where they can, e.g. effectively QA the work of 'intensive coding' teams, or use code to quickly check other methods/present analysis. There are lots of great small initiatives to improve coding skills, but to really make the most of the potential here something large-scale and organised is needed."
"417","Other",NA,NA,"It being valued as important by management and so time spent on it is considered important.",NA,NA
"418","Other",NA,NA,"Training and guidance on coding best practice, version control etc.",NA,NA
"419","HM Revenue and Customs","While there are very good aspects of RAPs, I'm not entirely persuaded by the merits of them as I don't seem flexible enough to cope changing circumstances. Maintaining them involves a high level of skills that are not always available in analytical teams and I think their automation risks errors creeping in due to complacency, The fact that gov.uk does not work with RAPs is also a major drawback.","some of these questions are not relevant to all software packages.","formal training; coaching; mentoring","i'd like to see less of a bias towards RAPs","It would be great if coding skills were more highly valued by SCS analysts"
"421","Department of Health and Social Care (excl. agencies)","I haven't explicitly worked on RAPs before (but I suspect I have implicitly and it's just that terminology wasn't used). My current team has been involved in helping other analysts in the department to implement RAPs. Our work is more ad hoc, so we don't need to implement them ourselves.",NA,NA,NA,NA
"422","Home Office (excl. agencies)",NA,NA,"walk through the process",NA,NA
"423","Other",NA,"my team is getting into using drake but I havent started yet ","guides or examples of RAPS",NA,NA
"424","Department for Work and Pensions","We don't use RAP in our work",NA,NA,NA,NA
"428","Department for International Trade","We are currently implementing RAP in one of our official statistics products.",NA,"Example projects from other departments. Also as we work on official statistics which are published on gov.uk, it would be really helpful to have more guidance on how to use RAP to resolve accessibility issues and publish on gov.uk.",NA,NA
"430","Office for National Statistics",NA,NA,"More training sessions as they're very popular and difficult to book onto. The more senior the role the harder it is to find time for development.",NA,"More distinction between production and analysis, as this survey seems heavier on the production side. In analysis, in my area, we usually write code that gets used once and then maybe is picked in a few years for an update. So usually it's only QA'd once and spot checked etc. So there seems to be no need for formalised documentation or version control etc."
"431","Welsh Government",NA,NA,"Start to understand basics of coding",NA,NA
"436","Department for Transport (excl. agencies)",NA,"I have heard of lots of these terms but don't really know what they mean / do","Knowing what the value add of these tools are
Having dedicated time to learn new skills
Knowing that there will be opportunities to implement any training received
Training using real life projects",NA,NA
"437","Public Health England",NA,NA,"Training
Toolkits",NA,NA
"438","Defence Science and Technology Laboratory",NA,"I have used Continuous Integration products in the past (prior to my current role). I would like to continue using it in my current role, but the infrastructure does not exist within the organisation as far as I'm aware.","Regular workshops and tutorials delivered by Dstl's Knowledge & Information Services (KIS) or other professional organisation. Best practices and new technologies are not typically being adopted across the organisation because coders are either not aware that the relevant tools exist, or simply don't see the benefit in using them. The number of messy 'hacked up' scripts with no comments/documentation that I see on a regular basis is rather concerning, but without guidance and encouragement from Dstl Corporate, nothing will change.",NA,NA
"442","Office for National Statistics",NA,NA,"Training course","None","None"
"443","Department for Work and Pensions",NA,NA,"Understanding the situations where it is needed. A lot of the work my team does is ad hoc analysis, though there are elements of what we get asked to do that are quite common across different pieces of work.",NA,NA
"444","Cabinet Office (excl. agencies)","I have been trying to develop and implement RAPs for my team's work for over a year but the commitment, priority and resources have not been sustained from senior management. I have responded 'neutral' to the last statement as this is something we have tried to do and were beginning to make in-roads but resources have been redeployed and work re-prioritised so the project has stalled.","I work with a number of programmers and developers who quite probably do all of the above but I do not code.","Senior (Director) support to dedicate the time and resources required",NA,"Might I suggest that if someone has already answered that they don't code, you don't ask them about coding practices? I have answered 'never' to many of these questions - I understand them but I don't do them because I don't code; my team does and they follow most if not all of these practices."
"449","National Records of Scotland",NA,NA,"Vast amounts of time to spend developing coding skills. They are not something you pick up in a couple of days. This is the main  barrier.","If you don't use coding, do you feel that you could do your job better if you could, or is it unnecessary for what you do?",NA
"451","Defence Science and Technology Laboratory",NA,"I'm not formally trained in these practices, so only tend to seek out apply them to the extent that I'm aware they will address specific concerns. I tend to defer to those with more expertise.","Clusters of expertise by tool/language. Coding tends to be occasional and fragmented.","Amount/frequency of coding seems relevant, since my experiences shouldn't be seen as equal to someone who codes every day as a core part of their job.",NA
"452","Other","RAP is something I've heard of and understand that it can be helpful, but there's no particular push to make use of RAP formally in my team. We try to make our analysis reproducible and well-documented in principle, but don't do this in a structured, formal way currently",NA,"We don't have access to Github currently in DCMS, although I think it's being looked at. That would certainly help. An intro to RAP training session would be good as a springboard for later self-directed learning",NA,NA
"455","Defence Science and Technology Laboratory",NA,NA,"Some easily accessible place that told us what some of the terms meant, the advantages of various systems and where to find more information about them",NA,NA
"456","Office for National Statistics",NA,NA,"I generally only write small pieces of write for personal use during analysis to feed outputs to the business area/stakeholders, so there's no handover of code / versioning etc... would be nice if there was more use of coding throughout the office, including outside the analysis function, to allow for more effective use of code",NA,NA
"457","Cabinet Office (excl. agencies)",NA,NA,"Training for managers so they can understand the requirements and importance of RAP. Training in Git and GitHub (or similar) for version control. Function writing and package building.",NA,NA
"458","Department for Work and Pensions",NA,"Unable to use GitHub/docker etc in my current role as they are not supported on Surface Pros","Good supporting documentation and better access to technology required","No","Would much rather use a range of programming/analysis software but we are predominantly restricted to SAS for security reasons "
"461","Department for Work and Pensions",NA,NA,"Looking at an example of RAP that has been implemented and is successful (code, documentation etc)",NA,NA
"462","Department for Work and Pensions",NA,NA,NA,"I'd like to see more of a focus on data visualisation",NA
"463","Department for Work and Pensions",NA,NA,"Clearer government wide guidance as it feels like my area are developing RAP as a DWP only practice ","questions about data coverage ",NA
"464","Department for Work and Pensions","Still relatively immature as a department.",NA,"Support? None. Its not a case of not knowing how to do it, its a case of resources, money.","As alluded to above, consider that not all departments have the same funding, the same resources...some might be in air gaps so work in 19th Century conditions etc. Every time we do these sorts of things, you think everyone has the resources as you lot.",NA
"471","Department for Work and Pensions","I develop a model rather than produce outputs of any kind.",NA,NA,NA,NA
"472","Office for National Statistics",NA,NA,"Clear documentation of expectations","No",NA
"475","Department for Work and Pensions",NA,NA,"Easier access to software such as R, Python, etc.",NA,NA
"478","Public Health England","My understanding of RAP is that another analyst should be able to produce the same answer as me by using my code. It should be easy and clear what they need to do and how to do it. Very few people in my immediate team have coding experience and we don't make use of tools like Github. I feel we could improve productivity with a more organised approach to coding and sharing code","I want to know more about this kind of thing. I can write good R and SQL code but don't know about sharing and maintaining it in this environment. This was standard practice when I worked in an MIS department in the late 80s, but technology has move on and I lost touch - need training","Training and time to complete it","no","no"
"479","Other","I believe that RAP is overemphasised compared to basic QA.  Appears to be the latest buzz.",NA,"I don't believe that RAP should be the teams priority.",NA,"The survey is overfly focused on buzzwords and frameworks.  The question is whether a tool is appropriate or not.  

C# is closer to Java than it is C

Docker is very trendy, but comes with a lot of liabilities.  The rush towards RAP doesn't seem to understand these kinds of risks.
"
"481","Ministry of Defence",NA,NA,NA,"Whether coding and 'RAP' would be useful.",NA
"483","Scottish Government (excl. agencies)","I don't even know what RAP is ","It sounds like there are many examples of best practice that I could be following but I haven't heard about it before and it also sounds like a lot of this doesn't apply to SAS users. It would be helpful to get guidance on what best practice for different programming software looks like. ","Guidance on what RAP is, how it can be implemented etc, a guide on what best practice looks like for programming in different programs (I think it will be different when using R as compared to SAS etc) 
",NA,NA
"484","Ministry of Justice (excl. agencies)","Due to covid all of our work is up in the air and we do not currently have our regular outputs, where RAP would be most useful. Also, I feel we need to fix underlying data issues before we focus resource on RAP, for my area.",NA,NA,"Possibly something on whether people use the software to run coding already in place or if they write their own (new) code.",NA
"485","Ministry of Justice (excl. agencies)","Although there has been some RAP training, it is not enough for me to feel confident to even try it. ",NA,"Actual training and practice. ",NA,"Interviews do not cover whether someone can do, or is interested in, coding. A lot of statisticians are limited to using SPSS drop down menus in their education, and then suddenly are expected to know R code when they join a department. It doesn't make any sense. "
"486","HM Revenue and Customs","Not sure how to go about implementing RAP and I have no current plans for implementing RAP on any of my projects",NA,"Resource with experience or expertise to carry out RAP to show benefits to senior leaders","No","No"
"487","Office for National Statistics",NA,NA,"Hands on training and resources to refer to that start at the very beginning. Most seem to assume some knowledge.","no","none"
